Model_ID,Imitation,Shield_Active,Shield_Dist,Reward_Active,Reward_Dist,Total_Steps_Planned,Step,Deaths,Reward_Accumulated,Efficiency,PPM,Interventions,Penalties
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,70000,385,23834.0,0.3404857218265533,61.906494140625,8002,8980
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,80000,431,29967.0,0.3745875060558319,69.52899932861328,8985,10116
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,90000,477,37362.5,0.4151389002799988,78.32809448242188,9986,11232
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,100000,526,45504.5,0.4550450146198272,86.51045989990234,11068,12501
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,110000,572,52698.0,0.4790727198123932,92.1293716430664,12054,13617
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,120000,619,59846.0,0.498716652393341,96.68174743652344,13054,14750
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,130000,669,66350.5,0.5103884339332581,99.17862701416016,14117,15967
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,140000,712,74344.0,0.5310285687446594,104.41573333740234,15046,17001
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,150000,753,83538.5,0.5569233298301697,110.94090270996094,15966,18048
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,160000,800,91417.0,0.5713562369346619,114.27124786376952,16995,19232
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,170000,849,99903.5,0.5876676440238953,117.67196655273438,18022,20442
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,180000,897,107222.0,0.5956777930259705,119.53400421142578,19010,21534
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,190000,936,119927.0,0.6311947107315063,128.12713623046875,19963,22631
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,200000,984,128546.5,0.6427325010299683,130.63668823242188,20996,23819
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,210000,1026,139897.0,0.6661761999130249,136.3518524169922,21967,24955
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,220000,1075,147610.5,0.6709567904472351,137.3120880126953,23026,26165
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,230000,1124,155955.5,0.6780673861503601,138.7504425048828,24062,27337
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,240000,1172,164277.0,0.684487521648407,140.1680908203125,25099,28582
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,250000,1224,171609.5,0.6864380240440369,140.20384216308594,26187,29844
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,260000,1271,180142.0,0.6928538680076599,141.7324981689453,27207,31049
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,270000,1320,187761.0,0.6954110860824585,142.24317932128906,28200,32184
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,280000,1366,197515.5,0.7054125070571899,144.5940704345703,29269,33414
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,290000,1420,205655.5,0.70915687084198,144.82781982421875,30400,34680
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,300000,1471,213097.0,0.7103233337402344,144.8654022216797,31462,35888
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,310000,1523,223756.5,0.7217951416969299,146.9182586669922,32617,37200
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,320000,1572,232192.0,0.725600004196167,147.704833984375,33634,38350
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,330000,1618,242403.0,0.7345545291900635,149.81643676757812,34722,39592
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,340000,1662,255420.0,0.75123530626297,153.68231201171875,35698,40697
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,350000,1709,265648.0,0.7589942812919617,155.44061279296875,36762,41904
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,360000,1754,275562.0,0.7654500007629395,157.1049041748047,37784,43079
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,370000,1800,282994.5,0.7648500204086304,157.2191619873047,38724,44116
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,380000,1848,291086.5,0.7660170793533325,157.51434326171875,39760,45308
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,390000,1890,301604.0,0.773343563079834,159.57884216308594,40718,46438
dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,True,True,5.0,True,10,400000,400000,1932,310516.5,0.7762912511825562,160.7228240966797,41608,47427
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,10000,54,717.3235473632812,0.0717323571443557,13.283769607543944,1255,1520
