Model_ID,Imitation,Shield_Active,Shield_Dist,Reward_Active,Reward_Dist,Total_Steps_Planned,Step,Deaths,Reward_Accumulated,Efficiency,PPM,Interventions,Penalties
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,10000,59,5780.0,0.578,97.9661,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,20000,120,11650.0,0.5825,97.083336,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,30000,180,18200.0,0.6066667,101.111115,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,40000,240,25330.0,0.63325,105.541664,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,50000,296,33850.0,0.677,114.35811,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,60000,344,43190.0,0.7198333,125.55232,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,70000,389,55220.0,0.78885716,141.95372,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,80000,441,65250.0,0.815625,147.95918,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,90000,492,76070.0,0.84522223,154.61382,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,100000,542,86810.0,0.8681,160.16605,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,110000,588,96910.0,0.881,164.81293,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,120000,634,108060.0,0.9005,170.44164,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,130000,676,118970.0,0.91515386,175.99112,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,140000,723,130850.0,0.93464285,180.98203,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,150000,771,143260.0,0.9550667,185.81064,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,160000,817,156720.0,0.9795,191.82375,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,170000,864,168650.0,0.9920588,195.19676,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,180000,908,181490.0,1.0082778,199.87886,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,190000,956,194230.0,1.0222632,203.16945,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,200000,997,208660.0,1.0433,209.28786,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,210000,1038,219920.0,1.0472381,211.86897,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,220000,1077,234560.0,1.0661818,217.79016,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,230000,1122,248410.0,1.0800434,221.39929,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,240000,1167,261630.0,1.090125,224.19023,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,250000,1212,274030.0,1.09612,226.09737,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,260000,1259,289350.0,1.1128846,229.82526,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,270000,1299,303630.0,1.1245556,233.74133,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,280000,1349,317530.0,1.1340357,235.38176,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,290000,1391,330160.0,1.1384828,237.35442,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,300000,1439,342960.0,1.1432,238.33217,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,310000,1483,356380.0,1.1496129,240.31018,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,320000,1528,370220.0,1.1569375,242.29057,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,330000,1574,384030.0,1.1637273,243.98347,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,340000,1617,397590.0,1.1693823,245.88126,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,350000,1664,410260.0,1.1721715,246.55048,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,360000,1710,424490.0,1.1791389,248.23976,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,370000,1758,435580.0,1.1772432,247.77019,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,380000,1805,448720.0,1.1808422,248.59834,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,390000,1852,461740.0,1.1839488,249.31966,0,0
dqn_pacman_IA_Sola_ShieldOFF_steps400000,False,False,0,False,0,400000,400000,1902,475270.0,1.188175,249.87907,0,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,10000,61,5100.0,0.5099999904632568,83.60655975341797,1230,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,20000,113,11530.0,0.5764999985694885,102.035400390625,2313,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,30000,173,18450.0,0.6150000095367432,106.64739990234376,3543,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,40000,216,26770.0,0.6692500114440918,123.93518829345705,4477,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,50000,268,34680.0,0.6935999989509583,129.40298461914062,5541,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,60000,317,43240.0,0.7206666469573975,136.40377807617188,6619,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,70000,364,51540.0,0.7362856864929199,141.59339904785156,7598,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,80000,411,63590.0,0.7948750257492065,154.72019958496094,8683,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,90000,459,74200.0,0.8244444727897644,161.65577697753906,9740,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,100000,506,84640.0,0.8464000225067139,167.27272033691406,10775,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,110000,552,96880.0,0.8807272911071777,175.5072479248047,11782,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,120000,594,110440.0,0.9203333258628844,185.9259185791016,12730,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,130000,642,122340.0,0.941076934337616,190.5607452392578,13764,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,140000,688,134150.0,0.958214282989502,194.98545837402344,14751,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,150000,736,145770.0,0.9718000292778016,198.0570678710937,15728,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,160000,782,160830.0,1.0051875114440918,205.6649627685547,16818,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,170000,833,172350.0,1.0138235092163086,206.9027557373047,17888,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,180000,879,184250.0,1.023611068725586,209.6131896972656,18872,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,190000,929,197080.0,1.0372631549835205,212.14208984375,19977,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,200000,978,209690.0,1.048449993133545,214.40695190429688,21039,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,210000,1024,222160.0,1.0579047203063965,216.953125,22018,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,220000,1077,235960.0,1.0725454092025757,219.09005737304688,23184,0
dqn_pacman_IA_Sola_ShieldON_d5_steps400000,False,True,5,False,0,400000,230000,1122,251210.0,1.0922174453735352,223.89483642578125,24209,0
