Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,657.0,620.0,657.0,59.0,0.9436834,91.01978691019788,3.0,206.6666717529297,0.0,GameOver,64.0,9.74124809741248,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
2,463.0,230.0,463.0,59.0,0.49676025,87.25701943844493,3.0,76.66666412353516,0.0,GameOver,61.0,13.174946004319654,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
3,535.0,550.0,535.0,58.0,1.0280374,89.1588785046729,3.0,183.3333282470703,0.0,GameOver,62.0,11.588785046728972,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
4,629.0,750.0,629.0,70.0,1.1923689,88.87122416534181,3.0,250.0,0.0,GameOver,79.0,12.559618441971383,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
5,657.0,440.0,657.0,61.0,0.6697108,90.71537290715372,3.0,146.6666717529297,0.0,GameOver,68.0,10.350076103500761,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
6,531.0,580.0,531.0,59.0,1.0922787,88.88888888888889,3.0,193.3333282470703,0.0,GameOver,62.0,11.67608286252354,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
7,585.0,450.0,585.0,58.0,0.7692308,90.08547008547009,3.0,150.0,0.0,GameOver,61.0,10.427350427350428,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
8,619.0,600.0,619.0,72.0,0.96930534,88.36833602584814,3.0,200.0,0.0,GameOver,77.0,12.439418416801292,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
9,789.0,1110.0,789.0,69.0,1.4068441,91.25475285171103,3.0,370.0,0.0,GameOver,88.0,11.153358681875792,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
10,611.0,480.0,611.0,62.0,0.7855974,89.85270049099836,3.0,160.0,0.0,GameOver,74.0,12.111292962356792,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
11,565.0,1130.0,565.0,78.0,2.0,86.19469026548673,3.0,376.6666564941406,0.0,GameOver,91.0,16.10619469026549,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
12,755.0,790.0,755.0,58.0,1.0463576,92.31788079470199,3.0,263.3333435058594,0.0,GameOver,70.0,9.271523178807946,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
13,641.0,660.0,641.0,71.0,1.0296412,88.9235569422777,3.0,220.0,0.0,GameOver,80.0,12.480499219968799,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
14,821.0,850.0,821.0,57.0,1.0353228,93.05724725943972,3.0,283.3333435058594,0.0,GameOver,61.0,7.429963459196102,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
15,849.0,900.0,849.0,57.0,1.0600706,93.28621908127208,3.0,300.0,0.0,GameOver,62.0,7.302709069493522,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
16,477.0,270.0,477.0,59.0,0.5660377,87.63102725366876,3.0,90.0,0.0,GameOver,61.0,12.78825995807128,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
17,943.0,1140.0,943.0,63.0,1.2089077,93.31919406150583,3.0,380.0,0.0,GameOver,78.0,8.271474019088016,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
18,781.0,630.0,781.0,59.0,0.80665815,92.44558258642766,3.0,210.0,0.0,GameOver,67.0,8.578745198463508,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
19,649.0,640.0,649.0,64.0,0.9861325,90.13867488443759,3.0,213.3333282470703,0.0,GameOver,75.0,11.556240369799692,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
20,723.0,1540.0,723.0,82.0,2.130014,88.65836791147994,3.0,513.3333129882812,0.0,GameOver,103.0,14.246196403872752,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
MEDIA,664.0,718.0,664.0,63.75,1.0611479,90.07224356547127,3.0,239.3333324432373,0.0,,72.2,11.162699130593408,True,10,5,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000
