Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,639.0,760.0,639.0,0.0,1.1893584,100.0,3.0,253.3333282470703,0.0,GameOver,63.0,9.859154929577464,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
2,701.0,440.0,701.0,0.0,0.62767476,100.0,3.0,146.6666717529297,0.0,GameOver,89.0,12.696148359486447,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
3,493.0,390.0,493.0,0.0,0.79107505,100.0,3.0,130.0,0.0,GameOver,63.0,12.778904665314403,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
4,549.0,320.0,549.0,0.0,0.58287793,100.0,3.0,106.66666412353516,0.0,GameOver,60.0,10.92896174863388,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
5,713.0,490.0,713.0,0.0,0.687237,100.0,3.0,163.3333282470703,0.0,GameOver,63.0,8.835904628330995,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
6,527.0,410.0,527.0,0.0,0.7779886,100.0,3.0,136.6666717529297,0.0,GameOver,63.0,11.954459203036052,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
7,549.0,440.0,549.0,0.0,0.80145717,100.0,3.0,146.6666717529297,0.0,GameOver,65.0,11.839708561020036,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
8,899.0,980.0,899.0,0.0,1.0901002,100.0,3.0,326.6666564941406,0.0,GameOver,72.0,8.008898776418242,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
9,823.0,940.0,823.0,0.0,1.1421628,100.0,3.0,313.3333435058594,0.0,GameOver,84.0,10.206561360874849,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
10,855.0,710.0,855.0,0.0,0.83040935,100.0,3.0,236.6666717529297,0.0,GameOver,63.0,7.368421052631578,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
11,413.0,250.0,413.0,0.0,0.6053269,100.0,3.0,83.33333587646484,0.0,GameOver,62.0,15.012106537530268,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
12,531.0,450.0,531.0,0.0,0.84745765,100.0,3.0,150.0,0.0,GameOver,61.0,11.487758945386064,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
13,617.0,540.0,617.0,0.0,0.8752026,100.0,3.0,180.0,0.0,GameOver,65.0,10.53484602917342,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
14,569.0,360.0,569.0,0.0,0.63268894,100.0,3.0,120.0,0.0,GameOver,77.0,13.53251318101933,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
15,535.0,370.0,535.0,0.0,0.69158876,100.0,3.0,123.33333587646484,0.0,GameOver,61.0,11.401869158878505,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
16,717.0,920.0,717.0,0.0,1.2831241,100.0,3.0,306.6666564941406,0.0,GameOver,68.0,9.483960948396094,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
17,465.0,360.0,465.0,0.0,0.7741935,100.0,3.0,120.0,0.0,GameOver,64.0,13.763440860215054,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
18,659.0,1340.0,659.0,0.0,2.0333838,100.0,3.0,446.6666564941406,0.0,GameOver,80.0,12.139605462822459,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
19,699.0,650.0,699.0,0.0,0.9298999,100.0,3.0,216.6666717529297,0.0,GameOver,62.0,8.869814020028613,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
20,813.0,1460.0,813.0,0.0,1.795818,100.0,3.0,486.6666564941406,0.0,GameOver,83.0,10.209102091020911,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
MEDIA,638.3,629.0,638.3,0.0,0.94945127,100.0,3.0,209.6666660308838,0.0,,68.4,11.045607025989735,True,10,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000
